accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2703.36,-4628,-650,3299.4,1786,6784,-318.74,-3576,994,6675.900000000001,4477.602472448507,188.04,-1334,2548,-120.14,-2889,3042,-54.69,-1814,895,2620.39,1740.9557727681831,0,Walking,4,100
-2706.4,-11210,32,3284.92,-1244,12562,-480.52,-7110,2822,7095.0,4712.420776987784,24.89,-2361,2076,-203.91,-4045,3959,41.65,-1564,1289,3184.83,2058.2395568970974,1,Walking,4,100
-2678.989010989011,-8976,-592,2999.6703296703295,-1376,12910,-464.6373626373626,-6478,3198,6868.483516483517,4528.468333837644,-261.1208791208791,-3004,1857,-471.72527472527474,-4256,2942,120.87912087912088,-1381,1110,2798.2527472527477,1846.8359823851488,2,Walking,4,91
-2692.7755102040815,-9162,394,2993.918367346939,-720,13320,-468.265306122449,-6962,3450,6907.897959183673,4527.485102280869,-188.60204081632654,-3631,2331,-327.64285714285717,-3419,2573,-48.265306122448976,-1808,1482,3190.9795918367345,2108.5314323637126,3,Walking,4,98
-2576.4,-9250,596,3126.22,-1894,13342,-430.6,-7520,4324,6933.58,4568.835118498429,-56.19,-3540,2275,-95.64,-4117,4278,-65.05,-1762,1363,3458.7200000000003,2217.2631344868337,4,Walking,4,100
-2549.08,-8364,-258,3164.32,-1432,14820,-362.96,-6350,3116,6998.76,4697.36384427618,104.22,-3392,2353,-113.21,-3913,2801,-123.15,-1532,1693,3407.7200000000003,2218.9998187099995,5,Walking,4,100
-2653.28,-10278,-336,3180.4,-2064,16808,-384.12,-6948,3948,7098.4400000000005,4688.461014158383,74.59,-3998,2539,11.44,-4960,3107,-210.74,-1912,1307,3430.4900000000002,2216.3141351172085,6,Walking,4,100
-2718.14,-12224,-152,3232.06,-2150,13828,-473.24,-7846,2760,7126.84,4723.66959085653,110.99,-3482,1953,28.87,-3701,4424,-120.98,-2019,1652,3356.34,2184.6114197160377,7,Walking,4,100
-2518.7045454545455,-10606,-338,3155.590909090909,-1466,12432,-393.8181818181818,-6172,3370,6916.659090909091,4527.303368151862,39.36363636363637,-2573,2228,91.14772727272727,-4485,3282,-198.5340909090909,-1687,1508,3583.1136363636365,2281.149416666622,8,Walking,4,88
-2815.46,-9384,-322,3166.16,38,10460,-484.96,-5288,2994,6887.9800000000005,4588.559144037278,-99.33,-3209,2347,334.99,-3894,2852,-227.41,-1973,1032,2959.77,1881.5009626855422,9,Walking,4,100
-2764.2,-9990,-266,2960.48,-474,5546,-299.48,-5182,3544,6571.8,4413.8986317930785,-348.08,-2188,1665,513.83,-3147,3391,-245.09,-2201,1126,3173.0,2030.2666312467234,10,Walking,4,100
-2570.88,-5982,-190,3344.52,-228,13724,-225.18,-5446,3794,6669.900000000001,4530.954547075547,-264.45,-4023,1947,204.44,-2274,2889,-178.28,-1910,1415,3023.07,1881.6876034837142,11,Walking,4,100
-2748.96,-9534,-708,3143.82,-1198,15352,-130.42,-3976,3534,6792.52,4582.275889857669,193.92,-2789,2276,73.28,-2779,3531,-72.15,-1736,1629,3011.4900000000002,1915.0328286291979,12,Walking,4,100
-2885.18,-9176,-534,3276.5,-1600,14524,-323.38,-6534,3714,7257.7,4842.468126410033,152.54,-3059,2024,-214.12,-3590,3697,5.15,-1613,1269,3319.4700000000003,2134.580771591776,13,Walking,4,100
-2832.66,-10706,-326,3256.7,-1194,14420,-354.82,-6322,3452,7198.26,4724.45631700055,12.0,-3208,2476,-124.48,-3579,3129,12.68,-1626,1494,3280.04,2100.6688631269535,14,Walking,4,100
-2716.185567010309,-10220,-464,3078.061855670103,-1292,13348,-369.4639175257732,-6286,3040,6838.061855670103,4515.222616547909,-99.83505154639175,-3029,2078,-331.6082474226804,-4115,2976,72.78350515463917,-1636,1210,3007.5876288659792,1925.6923079940277,15,Walking,4,97
-2979.5844155844156,-10324,-624,3138.5714285714284,-2484,14574,-379.16883116883116,-6280,4254,7470.8831168831175,4956.247876536681,-256.6753246753247,-3967,1680,-755.3766233766233,-4223,4275,433.4935064935065,-1947,1839,2948.922077922078,1984.4573740119483,16,Walking,4,77
-2562.7,-9694,-578,3115.72,-1514,12408,-371.16,-6610,3160,6751.54,4529.069195342919,63.81,-3630,2019,-135.4,-3057,3212,-74.75,-1637,1222,3373.94,2137.777360290095,17,Walking,4,100
-2686.86,-9240,-168,3151.86,-1228,14132,-418.44,-6494,3014,6954.6,4620.388331726411,-15.56,-3705,2561,14.56,-5692,3145,-110.2,-1729,1323,3360.46,2148.6456162566433,18,Walking,4,100
