video_second,samples,missing,boundary_excluded,thin
0,100,False,False,False
1,100,False,False,False
2,91,False,False,False
3,98,False,False,False
4,100,False,False,False
5,100,False,False,False
6,100,False,False,False
7,100,False,False,False
8,88,False,False,False
9,100,False,False,False
10,100,False,False,False
11,100,False,False,False
12,100,False,False,False
13,100,False,False,False
14,100,False,False,False
15,97,False,False,False
16,77,False,False,False
17,100,False,False,False
18,100,False,False,False
19,100,False,False,False
20,100,False,False,False
21,100,False,False,False
22,100,False,False,False
23,91,False,False,False
24,100,False,False,False
25,100,False,False,False
26,100,False,False,False
27,100,False,False,False
28,100,False,False,False
29,100,False,False,False
30,100,False,False,False
31,100,False,False,False
32,100,False,False,False
33,100,False,False,False
34,80,False,False,False
35,100,False,False,False
36,100,False,False,False
37,100,False,False,False
38,100,False,False,False
39,100,False,False,False
40,100,False,False,False
41,100,False,False,False
42,100,False,False,False
43,100,False,False,False
44,100,False,False,False
45,100,False,False,False
46,100,False,False,False
47,100,False,False,False
48,100,False,False,False
49,100,False,False,False
50,100,False,False,False
51,100,False,False,False
52,100,False,False,False
53,100,False,False,False
54,100,False,False,False
55,100,False,False,False
56,100,False,False,False
57,100,False,False,False
58,100,False,False,False
59,100,False,False,False
60,100,False,False,False
61,100,False,False,False
62,72,False,False,False
63,100,False,False,False
64,100,False,False,False
65,100,False,False,False
66,100,False,False,False
67,100,False,False,False
68,100,False,False,False
69,100,False,False,False
70,100,False,False,False
71,100,False,False,False
72,100,False,False,False
73,80,False,False,False
74,100,False,False,False
75,100,False,False,False
76,100,False,False,False
77,100,False,False,False
78,100,False,False,False
79,100,False,False,False
80,100,False,False,False
81,100,False,False,False
82,100,False,False,False
83,100,False,False,False
84,100,False,False,False
85,100,False,False,False
86,100,False,False,False
87,100,False,False,False
88,136,False,False,False
89,100,False,False,False
90,100,False,False,False
91,100,False,False,False
92,83,False,False,False
93,100,False,False,False
94,100,False,False,False
95,100,False,False,False
96,100,False,False,False
97,100,False,False,False
98,100,False,False,False
99,87,False,False,False
100,75,False,False,False
101,100,False,False,False
102,100,False,False,False
103,100,False,False,False
104,0,True,False,False
105,200,False,False,False
106,100,False,False,False
107,97,False,False,False
108,84,False,False,False
109,100,False,False,False
110,100,False,False,False
111,100,False,False,False
112,100,False,False,False
113,96,False,False,False
114,100,False,False,False
115,100,False,False,False
116,100,False,False,False
117,100,False,False,False
118,100,False,False,False
119,100,False,False,False
120,100,False,False,False
121,100,False,False,False
122,100,False,False,False
123,79,False,False,False
124,100,False,False,False
125,83,False,False,False
126,62,False,False,False
127,100,False,False,False
128,100,False,False,False
129,100,False,False,False
130,72,False,False,False
131,100,False,False,False
132,100,False,False,False
133,100,False,False,False
134,100,False,False,False
135,100,False,False,False
136,100,False,False,False
137,100,False,False,False
138,100,False,False,False
139,100,False,False,False
140,99,False,False,False
141,79,False,False,False
142,100,False,False,False
143,100,False,False,False
144,100,False,False,False
145,100,False,False,False
146,100,False,False,False
147,100,False,False,False
148,100,False,False,False
149,100,False,False,False
150,100,False,False,False
151,100,False,False,False
152,100,False,False,False
153,100,False,False,False
154,100,False,False,False
155,100,False,False,False
156,100,False,False,False
157,100,False,False,False
158,100,False,False,False
159,100,False,False,False
160,100,False,False,False
161,100,False,False,False
162,100,False,False,False
163,0,True,False,False
164,200,False,False,False
165,100,False,False,False
166,81,False,False,False
167,100,False,False,False
168,100,False,False,False
169,100,False,False,False
170,100,False,False,False
171,100,False,False,False
172,100,False,False,False
173,100,False,False,False
174,100,False,False,False
175,100,False,False,False
176,100,False,False,False
177,91,False,False,False
178,100,False,False,False
179,100,False,False,False
180,100,False,False,False
181,100,False,False,False
182,100,False,False,False
183,100,False,False,False
184,100,False,False,False
185,100,False,False,False
186,100,False,False,False
187,100,False,False,False
188,100,False,False,False
189,100,False,False,False
190,100,False,False,False
191,100,False,False,False
192,100,False,False,False
193,100,False,False,False
194,100,False,False,False
195,100,False,False,False
196,76,False,False,False
197,100,False,False,False
198,100,False,False,False
199,100,False,False,False
200,100,False,False,False
201,100,False,False,False
202,100,False,False,False
203,100,False,False,False
204,100,False,False,False
205,100,False,False,False
206,100,False,False,False
207,100,False,False,False
208,100,False,False,False
209,100,False,False,False
210,100,False,False,False
211,100,False,False,False
212,100,False,False,False
213,100,False,False,False
214,100,False,False,False
215,100,False,False,False
216,100,False,False,False
217,100,False,False,False
218,100,False,False,False
219,100,False,False,False
220,100,False,False,False
221,100,False,False,False
222,100,False,False,False
223,100,False,False,False
224,100,False,False,False
225,100,False,False,False
226,100,False,False,False
227,100,False,False,False
228,100,False,False,False
229,100,False,False,False
230,100,False,False,False
231,100,False,False,False
232,9,False,False,True
233,77,False,False,False
234,100,False,False,False
235,100,False,False,False
236,100,False,False,False
237,86,False,False,False
238,100,False,False,False
239,100,False,False,False
240,100,False,False,False
241,100,False,False,False
242,100,False,False,False
243,100,False,False,False
244,100,False,False,False
245,100,False,False,False
246,100,False,False,False
247,100,False,False,False
248,100,False,False,False
249,100,False,False,False
250,42,False,False,True
251,100,False,False,False
252,100,False,False,False
253,100,False,False,False
254,100,False,False,False
255,100,False,False,False
256,100,False,False,False
257,100,False,False,False
258,100,False,False,False
259,100,False,False,False
260,100,False,False,False
261,100,False,False,False
262,100,False,False,False
263,100,False,False,False
264,100,False,False,False
265,100,False,False,False
266,100,False,False,False
267,100,False,False,False
268,100,False,False,False
269,100,False,False,False
270,100,False,False,False
271,85,False,False,False
272,100,False,False,False
273,92,False,False,False
274,0,True,False,False
275,100,False,False,False
276,100,False,False,False
277,100,False,False,False
278,98,False,False,False
279,54,False,False,False
280,78,False,False,False
281,100,False,False,False
282,100,False,False,False
283,100,False,False,False
284,100,False,False,False
285,91,False,False,False
286,100,False,False,False
287,65,False,False,False
288,100,False,False,False
289,100,False,False,False
290,100,False,False,False
291,100,False,False,False
292,80,False,False,False
293,100,False,False,False
294,100,False,False,False
295,100,False,False,False
296,100,False,False,False
297,100,False,False,False
298,100,False,False,False
299,100,False,False,False
300,100,False,False,False
301,100,False,False,False
302,100,False,False,False
303,100,False,False,False
304,100,False,False,False
305,100,False,False,False
306,100,False,False,False
307,100,False,False,False
308,100,False,False,False
309,100,False,False,False
310,100,False,False,False
311,100,False,False,False
312,100,False,False,False
313,100,False,False,False
314,100,False,False,False
315,100,False,False,False
316,100,False,False,False
